Front	Back	Tags
remote	[rɪˈmoʊt] <br>（时间，距离）遥远的；偏僻的；（关系）疏远的，远离的，冷淡的；极不相同的，相差很大的 <br><br>【助记】 re（again再，又）十mote（尘埃）一反复扫除尘埃一疏远的，远离的	红宝书 必考词 Unit01
remove	[riˈmuv] <br>搬迁，移动；移开，挪走；去掉，消除，脱去（衣服等）；开除，撤职 <br><br>【助记】 re（again再，又）十move（移动）一再次移动→挪走	红宝书 必考词 Unit01
removal	[rɪˈmuvəl] <br>移动，迁居：除去切除：免职，开除 <br><br>【助记】 remov（e）（移动）十al（名词后缀）-移动	红宝书 必考词 Unit01
remain	[rɪˈmeɪn] <br>re（again再文main（=man停留）一余留，留待 剩下余留：留待，尚需；仍然是，依旧是，保持不变	红宝书 必考词 Unit01
remainder	[rɪˈmeɪndər]	红宝书 必考词 Unit01
remains	[rɪˈmeɪnz] <br>残余（物）；遗迹，废墟；遗体 部分 剩余物，剩余时间，残余部分：其他人 员；余数·余项，差数 <br><br>【助记】 remain（余留）十s（词尾）-残余	红宝书 必考词 Unit01
remedy	[ˈrɛmədi] <br>n.治疗，治疗法，药品；补救（办法），纠正（办法） ut.医治.治疗；补救，纠正；革除，消除	红宝书 必考词 Unit01
remember	[rɪˈmɛmbər] v. <br>记得，回想起，不忘记；代…··问候；向···送礼	红宝书 必考词 Unit01
remind	[riˈmaɪnd] <br>提醒，使想起 <br><br>【助记】 re（again再）+mind（思考）一再次思考一使想起	红宝书 必考词 Unit01
render	[ˈrɛndər] v. <br><br>【助记】 把“a”换成“n”就能使reader（读者） render（成为）我们的支持者	红宝书 必考词 Unit01
contemporary	[kənˈtɛmpərˌɛri] <br>adi.同时代的，同时发生的；现代的，当代的 n.同代人，（几乎）同年龄的人 使得，使成为；给予，回报；提出，呈报 <br><br>【助记】 con（共同）十tempor（时代）十ary（形容词后缀）→同时代的	红宝书 必考词 Unit01
contempt	[kənˈtɛmpt] <br>轻视，轻蔑；(对规则、危险等的)藐视，毫不畏惧	红宝书 必考词 Unit01
content	[ˈkɑntɛnt] <br>[kontent]n.容量，含量；（pl.）内容目录；（单数）（书、文章、讲话、计划等的）主题，要旨；（网站上的）信息内容 [kan'tent]adj.满意（足）的，惬意的 <br><br>【助记】 我content（愿意）contend（竞争）	红宝书 必考词 Unit01
contend	[kənˈtɛnd] vi. <br><br>【助记】 con（共同）十tend（做某事的倾向）一共同争取做某事→竞争竞争，争夺；声称，主张	红宝书 必考词 Unit01
contest	[ˈkɑntɛst] <br>[kontest]n.竞赛，比赛，（控制权或权力的）竞争，争夺 [kan'test]u.争夺，竞争，争论，就.提出异议 <br><br>【助记】 con（共同）十test（检验)→共同检验一比赛	红宝书 必考词 Unit01
context	[ˈkɑntɛkst] <br>上下文，语境；（事件发生的）环境，背景 <br><br>【助记】 con（共同）+text（原文）→上下文	红宝书 必考词 Unit01
contract	[ˈkɑnˌtrækt] <br>[kontrakt]n.[律]合同，契约 [kan'traekt]u.缩小，缩短，缩紧；立约规定（或雇佣、承担、执行等）；[医]感染（疾病），患（病） <br><br>【助记】 con（共同）十tract（吸引丨）→彼此吸引以达成协议→合同	红宝书 必考词 Unit01
contradict	[ˌkɑntrəˈdɪkt]	红宝书 必考词 Unit01
contrary	[ˈkɑntrɛri] <br>adj.相反的，对抗的，好与人作对的；对方的 n.（常作the～）相反事物，反对，对立面 的说法→反驳 反驳；同.··…相矛盾 <br><br>【助记】 contra（相反的）十ry（名词兼形容词后缀）→相反的	红宝书 必考词 Unit01
contrast	[ˈkɑntræst] <br>[kantra:st].使成对比，使成对照；形成对比，显出明显的差异 [kontrast]n.对照，对比；差异，差别；明显不同的人（或事物） <br><br>【助记】 contra（相反的）十st（立）→相反而立→对照	红宝书 必考词 Unit01
diverse	[dɪˈvərs] <br>多种多样的，不同的 <br><br>【助记】 divers（分开转）十e（词尾）→不同的	红宝书 必考词 Unit01
diversion	[dɪˈvərʒən] <br><br>【助记】 divers（分开转）十ion（名词后缀）→转移转向，转移；转移注意力的事物；娱乐，消遣	红宝书 必考词 Unit01
divert	[dɪˈvərt] <br><br>【助记】 di（离开）+vert（转移）→转向转移（某人的）注意力；（使）转向；改变（资金、材料等）的用途，挪用资金，盗用；使（某人）得到消遣或娱乐	红宝书 必考词 Unit01
divide	[dɪˈvaɪd] <br>u.分，划分；分裂；分配，分享，分担；分开，隔开；除 n.（尤指不同群体在信仰或生活方式上的）差异，分歧，不同；（时间、过程的）分界线，分界点	红宝书 必考词 Unit01
dividend	[ˈdɪvɪˌdɛnd] <br><br>【助记】 divid（e）（分）十end（名词后缀，多见于数学术语）一分利→红利	红宝书 必考词 Unit01
division	[dɪˈvɪʒən] <br>分开，分配；部门（科，处，系等）；差异，分歧；除法 股息，红利，报酬；被除数 <br><br>【助记】 divis（分）+ion（名词后缀）→分开	红宝书 必考词 Unit01
document	[ˈdɑkjəmɛnt] n. <br>机）文档 [dokjument]u.记录，记载（详情）	红宝书 必考词 Unit01
documentary	[ˌdɑkjəˈmɛnəri] <br>adj.文献的，文件的；记录的，纪实的 n.（文献）纪录片 <br><br>【助记】 document（文件）+ary（形容词后缀）→文件的	红宝书 必考词 Unit01
execute	[ˈɛksəˌkjut] vt. <br>实行，实施，履行；（常用被动态）（尤指依法）处决，处死；律]执行（法令），使(法律文件)生效	红宝书 必考词 Unit01
executive	[ɪgˈzɛkjətɪv] <br>execut（e）（实行）+-ive（形容词兼名词后缀）一实行的一执行的 adj.实行的，执行的，行政的 n.（总）经理，董事，高管，行政负责人；[the～]（政府的）行政部门	红宝书 必考词 Unit01
exemplify	[ɪgˈzɛmpləˌfaɪ] vt. <br>例示，举例证明	红宝书 必考词 Unit01
exert	[ɪgˈzərt] <br>用（力），尽（力）；运用，行使，发挥；施加（压力等）	红宝书 必考词 Unit01
exhaust	[ɪgˈzɔst] <br>~.使筋疲力尽，使疲惫不堪；用完，耗尽；汲空，抽完②n.排气装置；废气 <br><br>【助记】 ex（向外）+haust（抽水）→向外抽水→抽完	红宝书 必考词 Unit01
exist	[ɪgˈzɪst] <br>存在，实际上有；（尤指在困境或贫困 <br><br>【助记】 ex（外面）+ist（站）→能够在外面站立的>存在	红宝书 必考词 Unit01
existence	[ɪgˈzɪstəns] <br>中）生活，生存 <br><br>【助记】 exist（存在）十ence（名词后缀）→存在存在，生存，（尤指艰难或无聊的)生活（方式）	红宝书 必考词 Unit01
exotic	[ɪgˈzɑtɪk] <br>adj.由外国引进的；吸引人的，漂亮的；珍奇的，奇异的 n.外来物，外来品种，外来语	红宝书 必考词 Unit01
moral	[ˈmɔrəl] <br>adj.道德（上）的，道义的；品行端正的，有道德的②n.寓意，教育意义；（pl.）品行，道德规范 <br><br>【助记】 讲moral（道义的）人，才有morale（士气）	红宝书 必考词 Unit01
morality	[ˌmɔˈræləˌti] <br><br>【助记】 moral（道德的）十ity（名词后缀）→道德道德(规范），伦理；美德	红宝书 必考词 Unit01
moreover	[mɔˈroʊvər] <br><br>【助记】 more（更多）一over（过）→超过更多的此外再者，此外，而且	红宝书 必考词 Unit01
mostly	[ˈmoʊstli] adv. <br><br>【助记】 most（大部分的）+ly（副词后缀）→大部分几乎全部地，主要地，大部分，基本上	红宝书 必考词 Unit01
prior	[praɪər] <br>先前的，较早的；优先的；更重要的	红宝书 必考词 Unit01
priority	[praɪˈɔrəti] <br><br>【助记】 prior（先前的）十ity（名词后缀）→先前（时间，顺序等的）先，前，优先，优先权；优先事项，最重要的事	红宝书 必考词 Unit01
privacy	[ˈpraɪvəsi] <br><br>【助记】 priv（私人）+acy（名词后缀）→私人的事情→隐私隐居；私事，隐私	红宝书 必考词 Unit01
private	[ˈpraɪvət]	红宝书 必考词 Unit01
privilege	[ˈprɪvɪlɪʤ] <br>特权，优惠；特殊的待遇，特殊的荣幸 私人的，个人的；秘密的；私立的，私营 <br><br>【助记】 priv（私人）+ilege（君主）→君主私拥有的→特权	红宝书 必考词 Unit01
prudent	[ˈprudənt] <br>谨慎的，小心的；有先见之明的；会算的 <br><br>【助记】 他是个prudent（谨慎的）student（学生	红宝书 必考词 Unit01
submit	[səbˈmɪt] <br>屈服，服从，投降；听从，听任；提交，呈（建议、报告或请求） <br><br>【助记】 sub（下）十mit（送）-从下往上送→交；服从	红宝书 必考词 Unit01
subordinate	[səˈbɔrdəˌneɪt] <br>下级的；附属的，次要的 <br><br>【助记】 sub（下）+ordin（order顺序）+ate（容词后缀）→按顺序在下面的→下的，附属的	红宝书 必考词 Unit01
subscribe	[səbˈskraɪb] <br>捐助，赞助：订阅，订购；同意；签名 <br><br>【助记】 sub（下）十scribe（写）一把名字写在件下方→签名	红宝书 必考词 Unit01
substance	[ˈsəbstəns] <br>物质；要旨，基本内容；实质，本质；力，资产 <br><br>【助记】 sub（下面）十st（立）十ance（名词后缀，性质）能立在下面基本内容	红宝书 必考词 Unit01
substantial	[səbˈstænʃəl] <br><br>【助记】 sub（下面）十st（立）十ant（形容词 缀）十ial（形容词后缀）→能立在下的一实质的	红宝书 必考词 Unit01
substitute	[ˈsəbstəˌtut] <br>n.代替者，代替物②u.代替，替换 红宝书 实质的，真实的；坚固的，结实的；大量 的，富裕的；重要的 <br><br>【助记】 sub（下面）十stitut（站）十e（词尾）-站在下面→代替	红宝书 必考词 Unit01
subtle	[ˈsətəl] <br>微妙的，巧妙的；细微的，细致的；细心的，敏锐的；精妙的，灵巧的	红宝书 必考词 Unit01
associate	[əˈsoʊʃiˌeɪt] <br>[saufiertv.（使）联系，（使）联合，（使）结合；（with）结交，交往 [sauliatn.伙伴，合伙人，同事 [asaujiat]adj.联合的，联盟的，合伙的；副的；非正式的 <br><br>【助记】 as（加强）十soci（伙伴）十ate（动词后缀）→伙伴一起做→（使）联合	红宝书 必考词 Unit01
association	[əˌsoʊʃiˈeɪʃən] <br>协会，团体：联合，联系，交往；联想 <br><br>【助记】 as（加强）十soci（伙伴）十ation（名词后缀）→联合	红宝书 必考词 Unit01
amend	[əˈmɛnd] <br>修改，修订：改进，改善[aman(st)lprep.在·.··之中，在…····中间 <br><br>【助记】 a（加强）+mend（修理）→修改	红宝书 必考词 Unit01
amount	[əˈmaʊnt] <br>n.数量，总额 ui.（to）达到··.·.·之多。	红宝书 必考词 Unit01
ample	[ˈæmpəl] <br>充足的，丰富的：宽的，面积大的 <br><br>【助记】 有ample（充足的）apple（苹果）吃	红宝书 必考词 Unit01
amuse	[əmˈjuz] vt. <br>a（a在）+muse（stare盯，看）一在看节目一消遣逗乐，逗笑，给·····提供娱乐（或消遣）	红宝书 必考词 Unit01
tie	[taɪ] <br>ut.扎，系，捆 n.领带，领结；联系，关系，纽带；束缚，约束 本单元重点 <br><br>【助记】 lie（躺）着不好tie（系）鞋带	红宝书 基础词 Unit01
tide	[taɪd] <br>潮，潮汐，潮流，趋势	红宝书 基础词 Unit01
tidy	[ˈtaɪdi] <br>adj.整洁的，整齐的，有条理的，整的；（钱）相当大的，可观的 v.整理，收拾	红宝书 基础词 Unit01
tight	[taɪt] <br>adj.紧的，紧身的，装紧的；密封的不透.·..…的②d紧紧地 <br><br>【助记】 right（右）脚鞋带系得太tight（紧）	红宝书 基础词 Unit01
tilt	[tɪlt] <br>.（使）倾斜，（使）倾侧 n.歪，倾向 <br><br>【助记】 tile（瓷砖）tit（倾斜）了	红宝书 基础词 Unit01
weekday	[ˈwikˌdeɪ] <br><br>【助记】 week（周）十day（日子）→每周的日子110	红宝书 基础词 Unit01
nit	[nɪt] <br>（单独，孤独）平常日 平常日，工作日 工宝书 础词 <br><br>【助记】 -ing（名词后缀） （名词兼形容词后缀）-acy（名词后缀）	红宝书 基础词 Unit01
weekly	[ˈwikli] <br>adj.每周的，一周一次的 n.周刊，周报 adv.每周一次地 <br><br>【助记】 week（周）十ly（后缀）→每周的	红宝书 基础词 Unit01
weed	[wid] <br>n.杂草，野草 v.除草；（out）清除，淘汰	红宝书 基础词 Unit01
weep	[wip] <br>u.（wept，wept）为·....·哭泣，流泪；渗出②n.哭泣.眼泪well-known[welnaon]adj.有名的，著名的 <br><br>【助记】 她边sweep（打扫）边weep（流泪） well（好）十known（被知道的）→有名的	红宝书 基础词 Unit01
wet	[wɛt] <br>adj.湿的.潮湿的；有雨的，多雨的 v.弄湿，沾湿	红宝书 基础词 Unit01
ancestor	[ˈænˌsɛstər]	红宝书 基础词 Unit01
ancient	[ˈeɪnʧənt] <br>祖先，祖宗；先驱；原型 <br><br>【助记】 anci（古老）十ent（形容词后缀）→古老的古老的·古代的	红宝书 基础词 Unit01
